YÖP,YÖP Link,University Link,Üniversite,Fakülte,Program Adı,Program Link,Şehir,Üni.Türü,Puan Türü,Kontenjan 2024,Kontenjan 2023,Kontenjan 2022,Başarı Sırası 2024,Başarı Sırası 2023,Başarı Sırası 2022,Taban Puan 2024,Taban Puan 2023,Taban Puan 2022,Yerleşen 2024,Yerleşen 2023,Yerleşen 2022,Ek Yerleştirme Kontenjan 2024,Ek Yerleştirme Kontenjan 2023,Ek Yerleştirme Kontenjan 2022,YKS Net Ort.,YKS Net Ort. Link,Yıl,Ücret (KDV Hariç)
203851911,https://yokatlas.yok.gov.tr/onlisans.php?y=203851911,https://studyinturkey.gov.tr/UniversityTurkey/Detail?uId=325756&pLn=1,KAPADOKYA ÜNİVERSİTESİ,Kapadokya Meslek Yüksekokulu,"Bilgisayar Programcılığı (Uzaktan Öğretim) (%50 İndirimli)
",https://kapadokya.edu.tr/akademik/kapadokya-meslek-yuksekokulu/bilgisayar-programciligi,Nevşehir,VAKIF,TYT,170,136,136,,1863568.0,2691760.0,208.75,236.08,197.32,170,98.0,136.0,90,,,YKS NET,https://yokatlas.yok.gov.tr/onlisans-panel.php?y=203851911&p=3210a&pr=1,2,87.500 TL
203851767,https://yokatlas.yok.gov.tr/onlisans.php?y=203851767,https://studyinturkey.gov.tr/UniversityTurkey/Detail?uId=325756&pLn=1,KAPADOKYA ÜNİVERSİTESİ,Kapadokya Meslek Yüksekokulu,"Turist Rehberliği (Uzaktan Öğretim) (%25 İndirimli)
",https://kapadokya.edu.tr/akademik/kapadokya-meslek-yuksekokulu/turist-rehberligi,Nevşehir,VAKIF,TYT,170,136,136,,1180268.0,1341594.0,252.12,277.5,259.87,170,93.0,107.0,52,,,YKS NET,https://yokatlas.yok.gov.tr/onlisans-panel.php?y=203851767&p=3210a&pr=1,2,112.500 TL
203851909,https://yokatlas.yok.gov.tr/onlisans.php?y=203851909,https://studyinturkey.gov.tr/UniversityTurkey/Detail?uId=325756&pLn=1,KAPADOKYA ÜNİVERSİTESİ,Kapadokya Meslek Yüksekokulu,"Bilgisayar Programcılığı (%50 İndirimli)
",https://kapadokya.edu.tr/akademik/kapadokya-meslek-yuksekokulu/bilgisayar-programciligi,Nevşehir,VAKIF,TYT,67,59,51,,2065635.0,2833102.0,,225.48,187.36,48,42.0,51.0,41,,,YKS NET,https://yokatlas.yok.gov.tr/onlisans-panel.php?y=203851909&p=3210a&pr=1,2,125.000 TL
203851950,https://yokatlas.yok.gov.tr/onlisans.php?y=203851950,https://studyinturkey.gov.tr/UniversityTurkey/Detail?uId=325756&pLn=1,KAPADOKYA ÜNİVERSİTESİ,Kapadokya Meslek Yüksekokulu,"Bilişim Güvenliği Teknolojisi (%50 İndirimli)
",https://kapadokya.edu.tr/akademik/uygulamali-bilimler-yuksekokulu/bilgi-guvenligi-teknolojisi,Nevşehir,VAKIF,TYT,67,42,34,,2319056.0,2807534.0,185.1,212.9,189.76,67,26.0,34.0,40,,,YKS NET,https://yokatlas.yok.gov.tr/onlisans-panel.php?y=203851950&p=3210a&pr=1,2,187.500 TL
203852090,https://yokatlas.yok.gov.tr/lisans.php?y=203852090,https://studyinturkey.gov.tr/UniversityTurkey/Detail?uId=325756&pLn=1,KAPADOKYA ÜNİVERSİTESİ,Uygulamalı Bilimler Yüksekokulu,Bilgi Güvenliği Teknolojisi (%25 İndirimli),https://kapadokya.edu.tr/akademik/uygulamali-bilimler-yuksekokulu/bilgi-guvenligi-teknolojisi,Nevşehir,VAKIF,SAY,34,,,,,,,,,7,,,29,,,YKS NET,https://yokatlas.yok.gov.tr/lisans-panel.php?y=203852090&p=1210a&pr=1,4,125.000 TL
203851794,https://yokatlas.yok.gov.tr/onlisans.php?y=203851794,https://studyinturkey.gov.tr/UniversityTurkey/Detail?uId=325756&pLn=1,KAPADOKYA ÜNİVERSİTESİ,Kapadokya Meslek Yüksekokulu,"Ceza İnfaz ve Güvenlik Hizmetleri (%50 İndirimli)
",https://kapadokya.edu.tr/akademik/kapadokya-meslek-yuksekokulu/ceza-infaz-ve-guvenlik-hizmetleri,Nevşehir,VAKIF,TYT,68,68,68,,2138746.0,2263450.0,220.03,221.79,215.81,68,40.0,68.0,28,,,YKS NET,https://yokatlas.yok.gov.tr/onlisans-panel.php?y=203851794&p=3210a&pr=1,2,115.000 TL
203851825,https://yokatlas.yok.gov.tr/onlisans.php?y=203851825,https://studyinturkey.gov.tr/UniversityTurkey/Detail?uId=325756&pLn=1,KAPADOKYA ÜNİVERSİTESİ,Kapadokya Meslek Yüksekokulu,"Optisyenlik (%25 İndirimli)
",https://kapadokya.edu.tr/akademik/kapadokya-meslek-yuksekokulu/optisyenlik,Nevşehir,VAKIF,TYT,68,68,68,,1954436.0,1925400.0,224.32,231.25,229.8,68,50.0,68.0,26,,,YKS NET,https://yokatlas.yok.gov.tr/onlisans-panel.php?y=203851825&p=3210a&pr=1,2,165.000 TL
203851826,https://yokatlas.yok.gov.tr/onlisans.php?y=203851826,https://studyinturkey.gov.tr/UniversityTurkey/Detail?uId=325756&pLn=1,KAPADOKYA ÜNİVERSİTESİ,Kapadokya Meslek Yüksekokulu,"Patoloji Laboratuvar Teknikleri (%50 İndirimli)
",https://kapadokya.edu.tr/akademik/kapadokya-meslek-yuksekokulu/patoloji-laboratuvar-teknikleri,Nevşehir,VAKIF,TYT,68,64,55,,2180137.0,2894342.0,211.19,219.72,176.86,68,51.0,55.0,26,,,YKS NET,https://yokatlas.yok.gov.tr/onlisans-panel.php?y=203851826&p=3210a&pr=1,2,115.000 TL
203852104,https://yokatlas.yok.gov.tr/lisans.php?y=203852104,https://studyinturkey.gov.tr/UniversityTurkey/Detail?uId=325756&pLn=1,KAPADOKYA ÜNİVERSİTESİ,Uygulamalı Bilimler Yüksekokulu,Bilişim Sistemleri ve Teknolojileri (%25 İndirimli),https://kapadokya.edu.tr/akademik/uygulamali-bilimler-yuksekokulu/bilisim-sistemleri-ve-teknolojileri,Nevşehir,VAKIF,SAY,34,,,,,,,,,14,,,26,,,YKS NET,https://yokatlas.yok.gov.tr/lisans-panel.php?y=203852104&p=1210a&pr=1,4,187.500 TL
203851999,https://yokatlas.yok.gov.tr/lisans.php?y=203851999,https://studyinturkey.gov.tr/UniversityTurkey/Detail?uId=325756&pLn=1,KAPADOKYA ÜNİVERSİTESİ,"Mimarlık, Tasarım ve Güzel Sanatlar Fakültesi",Grafik Tasarımı (%50 İndirimli),https://kapadokya.edu.tr/akademik/mimarlik-tasarim-ve-guzel-sanatlar-fakultesi/grafik-tasarimi,Nevşehir,VAKIF,EA,34,,,,,,,,,12,,,24,,,YKS NET,https://yokatlas.yok.gov.tr/lisans-panel.php?y=203851999&p=1210a&pr=1,4,125.000 TL
203851820,https://yokatlas.yok.gov.tr/onlisans.php?y=203851820,https://studyinturkey.gov.tr/UniversityTurkey/Detail?uId=325756&pLn=1,KAPADOKYA ÜNİVERSİTESİ,Kapadokya Meslek Yüksekokulu,"Fizyoterapi (%25 İndirimli)
",https://kapadokya.edu.tr/akademik/kapadokya-meslek-yuksekokulu/fizyoterapi,Nevşehir,VAKIF,TYT,68,68,68,,2017413.0,2228439.0,214.63,227.97,217.23,68,55.0,68.0,23,,,YKS NET,https://yokatlas.yok.gov.tr/onlisans-panel.php?y=203851820&p=3210a&pr=1,2,165.000 TL
203851921,https://yokatlas.yok.gov.tr/lisans.php?y=203851921,https://studyinturkey.gov.tr/UniversityTurkey/Detail?uId=325756&pLn=1,KAPADOKYA ÜNİVERSİTESİ,"İktisadi, İdari ve Sosyal Bilimler Fakültesi","Siyaset Bilimi ve Uluslararası İlişkiler (%50 İndirimli)
",https://kapadokya.edu.tr/akademik/iktisadi-ve-idari-bilimler-fakultesi/siyaset-bilimi-ve-kamu-yonetimi,Nevşehir,VAKIF,EA,34,34,15,,1854174.0,1688013.0,,163.45,186.71,23,31.0,15.0,23,,,YKS NET,https://yokatlas.yok.gov.tr/lisans-panel.php?y=203851921&p=1210a&pr=1,4,150.000 TL
203851811,https://yokatlas.yok.gov.tr/onlisans.php?y=203851811,https://studyinturkey.gov.tr/UniversityTurkey/Detail?uId=325756&pLn=1,KAPADOKYA ÜNİVERSİTESİ,Kapadokya Meslek Yüksekokulu,"Ameliyathane Hizmetleri (%25 İndirimli)
",https://kapadokya.edu.tr/akademik/kapadokya-meslek-yuksekokulu/ameliyathane-hizmetleri,Nevşehir,VAKIF,TYT,68,68,56,,2029497.0,2070397.0,223.0,227.35,223.64,68,49.0,56.0,22,,,YKS NET,https://yokatlas.yok.gov.tr/onlisans-panel.php?y=203851811&p=3210a&pr=1,2,165.000 TL
203850275,https://yokatlas.yok.gov.tr/onlisans.php?y=203850275,https://studyinturkey.gov.tr/UniversityTurkey/Detail?uId=325756&pLn=1,KAPADOKYA ÜNİVERSİTESİ,Kapadokya Meslek Yüksekokulu,"Sivil Hava Ulaştırma İşletmeciliği (Türkçe) (%50 İndirimli)
",https://kapadokya.edu.tr/akademik/kapadokya-meslek-yuksekokulu/sivil-hava-ulastirma-isletmeciligi,Nevşehir,VAKIF,TYT,68,50,34,,2133399.0,2897558.0,221.86,222.06,175.67,68,37.0,34.0,22,,,YKS NET,https://yokatlas.yok.gov.tr/onlisans-panel.php?y=203850275&p=3210a&pr=1,2,115.000 TL
